stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
U50S1,"Budějovická",50.04441,14.44879,"P","https://pid.cz/zastavkova-tabla?stop=Budějovická",1,,1,
U52S1,"Chodov",50.03162,14.49088,"P","https://pid.cz/zastavkova-tabla?stop=Chodov",1,,1,
U75S1,"Kolbenova",50.11040,14.51640,"P","https://pid.cz/zastavkova-tabla?stop=Kolbenova",1,,1,
U78S1,"Ládví",50.12666,14.46943,"P","https://pid.cz/zastavkova-tabla?stop=Ládví",1,,1,
U100S1,"Vltavská",50.10030,14.43849,"P","https://pid.cz/zastavkova-tabla?stop=Vltavská",1,,1,
U100S2,"Praha-Bubny Vltavská",50.09933,14.43972,"P","https://pid.cz/zastavkova-tabla?stop=Praha-Bubny Vltavská",1,,2,
U106S1,"Opatov",50.02789,14.50919,"P","https://pid.cz/zastavkova-tabla?stop=Opatov",1,,2,
U115S1,"Nádraží Holešovice",50.10892,14.44007,"P","https://pid.cz/zastavkova-tabla?stop=Nádraží Holešovice",1,,1,
U115S2,"Praha-Holešovice",50.11053,14.43977,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Holešovice",1,,1,
U118S1,"Flora",50.07828,14.46259,"P","https://pid.cz/zastavkova-tabla?stop=Flora",1,,2,
U135S1,"Hloubětín",50.10669,14.53639,"P","https://pid.cz/zastavkova-tabla?stop=Hloubětín",1,,1,
U142S1,"Hlavní nádraží",50.08351,14.43414,"P","https://pid.cz/zastavkova-tabla?stop=Hlavní nádraží",1,,1,
U142S2,"Praha hl.n.",50.08310,14.43619,"P","https://pid.cz/zastavkova-tabla?stop=Praha hlavní nádraží",1,,1,
U157S1,"Bořislavka",50.09834,14.36283,"P","https://pid.cz/zastavkova-tabla?stop=Bořislavka",1,,1,
U163S1,"Hradčanská",50.09744,14.40316,"P","https://pid.cz/zastavkova-tabla?stop=Hradčanská",1,,2,
U163S2,"Praha-Dejvice",50.09698,14.39968,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Dejvice",1,,2,
U190S1,"I. P. Pavlova",50.07433,14.43031,"P","https://pid.cz/zastavkova-tabla?stop=I. P. Pavlova",1,,1,
U209S1,"Jiřího z Poděbrad",50.07772,14.45075,"P","https://pid.cz/zastavkova-tabla?stop=Jiřího z Poděbrad",1,,2,
U228S1,"Kačerov",50.04184,14.45931,"P","https://pid.cz/zastavkova-tabla?stop=Kačerov",1,,2,
U228S2,"Praha-Kačerov",50.04172,14.46181,"P","https://pid.cz/zastavkova-tabla?stop=Praha-Kačerov",1,,1,
U237S1,"Karlovo náměstí",50.07459,14.41698,"P","https://pid.cz/zastavkova-tabla?stop=Karlovo náměstí",1,,2,
U258S1,"Lužiny",50.04450,14.33044,"P","https://pid.cz/zastavkova-tabla?stop=Lužiny",1,,1,
U286S1,"Háje",50.03078,14.52697,"P","https://pid.cz/zastavkova-tabla?stop=Háje",1,,1,
U306S1,"Nemocnice Motol",50.07517,14.34110,"P","https://pid.cz/zastavkova-tabla?stop=Nemocnice Motol",1,,1,
U321S1,"Dejvická",50.10047,14.39317,"P","https://pid.cz/zastavkova-tabla?stop=Dejvická",1,,1,
U332S1,"Střížkov",50.12683,14.48846,"P","https://pid.cz/zastavkova-tabla?stop=Střížkov",1,,1,
U360S1,"Malostranská",50.09172,14.40921,"P","https://pid.cz/zastavkova-tabla?stop=Malostranská",1,,2,
U385S1,"Pankrác",50.05103,14.43968,"P","https://pid.cz/zastavkova-tabla?stop=Pankrác",1,,1,
U400S1,"Muzeum - A",50.07946,14.43129,"P","https://pid.cz/zastavkova-tabla?stop=Muzeum",1,,1,
U400S2,"Muzeum - C",50.08021,14.43142,"P","https://pid.cz/zastavkova-tabla?stop=Muzeum",1,,1,
U458S1,"Smíchovské nádraží",50.06131,14.40911,"P","https://pid.cz/zastavkova-tabla?stop=Smíchovské nádraží",1,,2,
U458S2,"Praha-Smíchov",50.06131,14.40813,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Smíchov",1,,2,
U458S3,"Praha-Smíchov sev.n.",50.06282,14.40666,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Smíchov severní nást.",1,,2,
U462S1,"Nádraží Veleslavín",50.09593,14.34927,"P","https://pid.cz/zastavkova-tabla?stop=Nádraží Veleslavín",1,,1,
U462S2,"Praha-Veleslavín",50.09499,14.34619,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Veleslavín",1,,2,
U474S1,"Vysočanská",50.11007,14.50108,"P","https://pid.cz/zastavkova-tabla?stop=Vysočanská",1,,1,
U474S2,"Praha-Vysočany",50.11235,14.49736,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Vysočany",1,,2,
U476S1,"Náměstí Míru",50.07531,14.43978,"P","https://pid.cz/zastavkova-tabla?stop=Náměstí Míru",1,,2,
U480S1,"Náměstí Republiky",50.08883,14.43060,"P","https://pid.cz/zastavkova-tabla?stop=Náměstí Republiky",1,,2,
U480S2,"Praha Masarykovo nádr.",50.08794,14.43374,"P","https://pid.cz/zastavkova-tabla?stop=Praha Masarykovo nádr.",1,,2,
U507S1,"Petřiny",50.08684,14.34494,"P","https://pid.cz/zastavkova-tabla?stop=Petřiny",1,,1,
U510S1,"Českomoravská",50.10616,14.49169,"P","https://pid.cz/zastavkova-tabla?stop=Českomoravská",1,,2,
U527S1,"Vyšehrad",50.06314,14.43052,"P","https://pid.cz/zastavkova-tabla?stop=Vyšehrad",1,,2,
U529S1,"Palmovka",50.10398,14.47480,"P","https://pid.cz/zastavkova-tabla?stop=Palmovka",1,,1,
U539S1,"Národní třída",50.07975,14.42029,"P","https://pid.cz/zastavkova-tabla?stop=Národní třída",1,,1,
U597S1,"Pražského povstání",50.05686,14.43331,"P","https://pid.cz/zastavkova-tabla?stop=Pražského povstání",1,,2,
U601S1,"Roztyly",50.03767,14.47674,"P","https://pid.cz/zastavkova-tabla?stop=Roztyly",1,,1,
U602S1,"Nové Butovice",50.05084,14.35215,"P","https://pid.cz/zastavkova-tabla?stop=Nové Butovice",1,,1,
U603S1,"Prosek",50.11891,14.49882,"P,0","https://pid.cz/zastavkova-tabla?stop=Prosek",1,,1,
U655S1,"Invalidovna",50.09680,14.46315,"P","https://pid.cz/zastavkova-tabla?stop=Invalidovna",1,,2,
U675S1,"Kobylisy",50.12412,14.45425,"P","https://pid.cz/zastavkova-tabla?stop=Kobylisy",1,,1,
U685S1,"Jinonice",50.05421,14.36991,"P","https://pid.cz/zastavkova-tabla?stop=Jinonice",1,,2,
U685S2,"Praha-Jinonice",50.05515,14.37771,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Jinonice",1,,2,
U689S1,"Florenc - B",50.09048,14.43765,"P","https://pid.cz/zastavkova-tabla?stop=Florenc",1,,1,
U689S2,"Florenc - C",50.09003,14.43917,"P","https://pid.cz/zastavkova-tabla?stop=Florenc",1,,1,
U703S1,"Staroměstská",50.08820,14.41767,"P","https://pid.cz/zastavkova-tabla?stop=Staroměstská",1,,2,
U713S1,"Strašnická",50.07307,14.49051,"P","https://pid.cz/zastavkova-tabla?stop=Strašnická",1,,1,
U758S1,"Křižíkova",50.09255,14.45134,"P","https://pid.cz/zastavkova-tabla?stop=Křižíkova",1,,2,
U818S1,"Rajská zahrada",50.10685,14.56050,"P","https://pid.cz/zastavkova-tabla?stop=Rajská zahrada",1,,1,
U897S1,"Černý Most",50.10897,14.57683,"P","https://pid.cz/zastavkova-tabla?stop=Černý Most",1,,1,
U921S1,"Želivského",50.07828,14.47548,"P","https://pid.cz/zastavkova-tabla?stop=Želivského",1,,2,
U953S1,"Skalka",50.06843,14.50786,"P","https://pid.cz/zastavkova-tabla?stop=Skalka",1,,1,
U957S1,"Radlická",50.05812,14.38776,"P","https://pid.cz/zastavkova-tabla?stop=Radlická",1,,2,
U1000S1,"Letňany",50.12653,14.51598,"P,0","https://pid.cz/zastavkova-tabla?stop=Letňany",1,,1,
U1007S1,"Luka",50.04567,14.32134,"P","https://pid.cz/zastavkova-tabla?stop=Luka",1,,1,
U1040S1,"Anděl",50.07001,14.40422,"P","https://pid.cz/zastavkova-tabla?stop=Anděl",1,,1,
U1071S1,"Depo Hostivař",50.07553,14.51538,"P","https://pid.cz/zastavkova-tabla?stop=Depo Hostivař",1,,1,
U1072S1,"Můstek - A",50.08353,14.42456,"P","https://pid.cz/zastavkova-tabla?stop=Můstek",1,,1,
U1072S2,"Můstek - B",50.08341,14.42339,"P","https://pid.cz/zastavkova-tabla?stop=Můstek",1,,1,
U1140S1,"Stodůlky",50.04670,14.30654,"P","https://pid.cz/zastavkova-tabla?stop=Stodůlky",1,,1,
U1141S1,"Zličín",50.05324,14.29098,"P","https://pid.cz/zastavkova-tabla?stop=Zličín",1,,1,
U1154S1,"Hůrka",50.05001,14.34279,"P","https://pid.cz/zastavkova-tabla?stop=Hůrka",1,,1,
U126S1,"Praha-Podbaba",50.11281,14.39475,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Podbaba",1,,1,
U134S1,"Praha-Libeň",50.10079,14.50166,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Libeň",1,,1,
U388S1,"Praha-Modřany zast.",50.00394,14.40309,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Modřany zastávka",1,,2,
U449S1,"Praha-Braník",50.02802,14.40699,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Braník",1,,1,
U453S1,"Praha-Hostivař",50.05496,14.53823,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Hostivař",1,,1,
U459S1,"Praha-Strašnice zast.",50.06756,14.49082,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Strašnice zastávka",1,,2,
U463S1,"Praha-Vršovice",50.06452,14.44767,"P","https://pid.cz/zastavkova-tabla?stop=Praha-Vršovice",1,,2,
U612S1,"Praha-Zličín",50.06414,14.29782,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Zličín",1,,2,
U146S1,"Praha-Hlubočepy",50.04070,14.39386,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Hlubočepy",1,,1,
U280S1,"Praha-Komořany",49.99096,14.40442,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Komořany",1,,1,
U448S1,"Praha-Běchovice",50.08220,14.59803,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Běchovice",1,,2,
U452S1,"Praha-Horní Počernice",50.11669,14.61269,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Horní Počernice",1,,2,
U456S1,"Praha-Radotín",49.98587,14.36406,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Radotín",1,,2,
U457S1,"Praha-Satalice",50.12296,14.57090,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Satalice",1,,2,
U461S1,"Praha-Uhříněves",50.03350,14.59171,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Uhříněves",1,,1,
U705S1,"Praha-Velká Chuchle",50.00716,14.38820,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Velká Chuchle",1,,2,
U801S1,"Praha-Dolní Počernice",50.08828,14.56930,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Dolní Počernice",1,,1,
U1048S1,"Praha-Krč",50.03418,14.44597,"P","https://pid.cz/zastavkova-tabla?stop=Praha-Krč",1,,2,
U1069S1,"Praha-Horní Měcholupy",50.04802,14.56557,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Horní Měcholupy",1,,1,
U1085S1,"Praha-Řeporyje",50.03251,14.30830,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Řeporyje",1,,1,
U1166S1,"Praha-Ruzyně",50.08422,14.31216,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Ruzyně",1,,2,
U1187S1,"Zbuzany",50.02630,14.28062,"1","https://pid.cz/zastavkova-tabla?stop=Zbuzany",1,,1,
U1305S1,"Neratovice",50.26268,14.51751,"2","https://pid.cz/zastavkova-tabla?stop=Neratovice",1,,2,
U1381S1,"Praha-Sedlec",50.13205,14.39430,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Sedlec",1,,1,
U2000S1,"Praha-Kbely",50.13483,14.55581,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Kbely",1,,2,
U2095S1,"Roztoky u Prahy",50.15968,14.39844,"1","https://pid.cz/zastavkova-tabla?stop=Roztoky u Prahy",1,,1,
U2276S1,"Praha-Běchovice střed",50.08363,14.61558,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Běchovice střed",1,,1,
U3212S1,"Praha-Čakovice",50.14904,14.51913,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Čakovice",1,,2,
U454S1,"Praha-Klánovice",50.08717,14.66400,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Klánovice",1,,1,
U465S1,"Praha-Zbraslav",49.97054,14.39971,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Zbraslav",1,,2,
U1051S1,"Praha-Kyje",50.09756,14.54317,"0","https://pid.cz/zastavkova-tabla?stop=Praha-Kyje",1,,1,
U1093S1,"Zeleneč",50.13024,14.66492,"1","https://pid.cz/zastavkova-tabla?stop=Zeleneč (vlak)",1,,2,
U1175S1,"Praha-Kolovraty",50.01395,14.62579,"B","https://pid.cz/zastavkova-tabla?stop=Praha-Kolovraty",1,,1,
U1246S1,"Kostelec nad Labem",50.22108,14.58072,"2","https://pid.cz/zastavkova-tabla?stop=Kostelec nad Labem",1,,2,
U1333S1,"Kostomlaty nad Labem",50.18592,14.96211,"5","https://pid.cz/zastavkova-tabla?stop=Kostomlaty nad Labem",1,,2,
U1383S1,"Čerčany",49.85080,14.70175,"4","https://pid.cz/zastavkova-tabla?stop=Čerčany",1,,1,
