from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
U461Z301,U461Z2P,1,1309_62_180430,209_2_180430
U461Z301,U461Z2P,1,1309_93_180430,209_4_180430
U461Z301,U461Z2P,1,1309_66_180430,209_6_180430
U461Z301,U461Z2P,1,1309_81_180430,209_8_180430
U461Z301,U461Z2P,1,1309_70_180430,209_10_180430
U461Z301,U461Z2P,1,1309_58_180430,209_12_180501
U461Z301,U461Z2P,1,1309_12_180430,209_14_180430
U461Z301,U461Z2P,1,1309_48_180430,209_17_180430
U461Z301,U461Z2P,1,1309_77_180430,209_19_180430
U461Z301,U461Z2P,1,1309_52_180430,209_21_180430
U461Z301,U461Z2P,1,1309_99_180430,209_23_180430
U461Z301,U461Z2P,1,1309_24_180430,209_25_180430
U461Z301,U461Z2P,1,1309_26_180430,209_27_180430
U461Z301,U461Z2P,1,1309_91_180430,209_31_180430
U461Z301,U461Z2P,1,1309_50_180430,209_33_180430
U461Z301,U461Z2P,1,1309_79_180430,209_35_180430
U461Z301,U461Z2P,1,1309_68_180430,209_37_180430
U461Z301,U461Z2P,1,1309_56_180430,209_39_180430
U461Z301,U461Z2P,1,1309_103_180430,209_41_180430
U461Z301,U461Z2P,1,1309_75_180430,209_42_180430
U461Z301,U461Z2P,1,1309_18_180430,209_44_180430
U461Z301,U461Z2P,1,1309_97_180430,209_46_180430
U461Z301,U461Z2P,1,1309_22_180430,209_48_180430
U461Z301,U461Z2P,1,1309_85_180430,209_50_180430
U461Z301,U461Z2P,1,1309_14_180430,209_52_180430
U461Z301,U461Z2P,1,1309_64_180430,209_54_180430
U461Z301,U461Z2P,1,1309_83_180430,209_56_180430
U461Z301,U461Z2P,1,1309_72_180430,209_58_180430
U461Z301,U461Z2P,1,1309_73_180430,209_59_180430
U461Z301,U461Z2P,1,1309_16_180430,209_61_180430
U461Z301,U461Z2P,1,1309_54_180430,209_63_180430
U461Z301,U461Z2P,1,1309_101_180430,209_65_180430
U461Z301,U461Z2P,1,1309_95_180430,209_68_180430
U461Z301,U461Z2P,1,1309_20_180430,209_70_180430
U461Z301,U461Z2P,1,1309_62_180430,209_72_180501
U461Z301,U461Z2P,1,1309_16_180430,209_74_180501
U461Z301,U461Z2P,1,1309_135_180501,209_74_180501
U461Z301,U461Z2P,1,1309_143_180501,209_76_180501
U461Z301,U461Z2P,1,1309_81_180430,209_78_180501
U461Z301,U461Z2P,1,1309_70_180430,209_80_180501
U461Z301,U461Z2P,1,1309_12_180430,209_82_180501
U461Z301,U461Z2P,1,1309_48_180430,209_84_180501
U461Z301,U461Z2P,1,1309_131_180501,209_84_180501
