agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,"Dopravní podnik hl. m. Prahy, akciová společnost","http://www.dpp.cz",Europe/Prague,cs,"+420296191817"
31,"České dráhy, a.s.","https://www.cd.cz",Europe/Prague,cs,"+420221111122"
32,"KŽC Doprava,s.r.o.","https://pid.cz",Europe/Prague,cs,"+420776628728"
6,"Jaroslav Štěpánek","https://pid.cz",Europe/Prague,cs,"+420602617074"
8,"ČSAD MHD Kladno a.s.","https://pid.cz",Europe/Prague,cs,"+420312825163"
10,"ČSAD Střední Čechy, a.s.","https://pid.cz",Europe/Prague,cs,"+420326911954,315671659"
11,"ČSAD POLKOST, spol. s r.o.","https://pid.cz",Europe/Prague,cs,"+420321697274"
12,"ČSAD Benešov s.r.o.","https://pid.cz",Europe/Prague,cs,"+420317722577"
13,"Okresní autobusová doprava Kolín, s.r.o.","https://pid.cz",Europe/Prague,cs,"+420606711309"
17,"Martin UHER, spol. s r.o.","https://pid.cz",Europe/Prague,cs,"+420318590513"
18,"ARRIVA CITY s.r.o.","https://pid.cz",Europe/Prague,cs,"+420234125223"
21,"ARRIVA STŘEDNÍ ČECHY s.r.o.","https://pid.cz",Europe/Prague,cs,"+420326710711"
24,"Valenta BUS s.r.o.","https://pid.cz",Europe/Prague,cs,"+420602305120"
26,"Vlastimil Slezák","https://pid.cz",Europe/Prague,cs,"+420233930928"
29,"STENBUS s.r.o.","https://pid.cz",Europe/Prague,cs,"+420739319344"
34,"AUTODOPRAVA LAMER s.r.o.","https://pid.cz",Europe/Prague,cs,"+420312273247"
36,"Kateřina Kulhánková","https://pid.cz",Europe/Prague,cs,"+420312273271"
37,"POHL Kladno s.r.o.","https://pid.cz",Europe/Prague,cs,"+420312273404"
41,"Pražské Benátky s.r.o.","https://pid.cz",Europe/Prague,cs,"+420603894182"
42,"VITTUS GROUP, s.r.o.","https://pid.cz",Europe/Prague,cs,"+420602129429"
43,"Pražská paroplavební společnost, a.s.","https://pid.cz",Europe/Prague,cs,"+420605295111"
63,"ABOUT ME s.r.o.","https://pid.cz",Europe/Prague,cs,"+420267290540"
66,"ČSAD Česká Lípa a.s.","https://pid.cz",Europe/Prague,cs,"+420484846611"
67,"ČSAD Slaný s.r.o.","https://pid.cz",Europe/Prague,cs,"+420416700194,312522210"
