service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1D,1,1,1,1,1,0,0,20180608,20180617
0000011-1D,0,0,0,0,0,1,1,20180608,20180617
1111111-1D,1,1,1,1,1,1,1,20180608,20180617
0000001-2D,0,0,0,0,0,0,1,20180608,20180617
0000010-6D,0,0,0,0,0,1,0,20180608,20180617
0000010-12D,0,0,0,0,0,1,0,20180609,20180617
1111100-3D,1,1,1,1,1,0,0,20180611,20180617
0000100-9D,0,0,0,0,1,0,0,20180608,20180608
0000010-19D,0,0,0,0,0,1,0,20180609,20180609
1111111-2NM,1,1,1,1,1,1,1,20180608,20180617
0000011-9D,0,0,0,0,0,1,1,20180609,20180617
0000010-2D,0,0,0,0,0,1,0,20180616,20180617
0000010-1D,0,0,0,0,0,1,0,20180609,20180609
0000011-19NM,0,0,0,0,0,1,1,20180609,20180617
1111110-2DM,1,1,1,1,1,1,0,20180608,20180617
1111101-1DM,1,1,1,1,1,0,1,20180608,20180617
0000100-6D,0,0,0,0,1,0,0,20180608,20180608
0000011-2D,0,0,0,0,0,1,1,20180610,20180617
0000001-11D,0,0,0,0,0,0,1,20180610,20180617
1111100-9NM,1,1,1,1,1,0,0,20180608,20180617
0000010-16D,0,0,0,0,0,1,0,20180608,20180609
1111100-4D,1,1,1,1,1,0,0,20180608,20180615
0000011-6D,0,0,0,0,0,1,1,20180616,20180617
0000001-1N,0,0,0,0,0,0,1,20180610,20180610
0000100-7D,1,1,1,1,1,0,0,20180615,20180617
0000001-16N,0,0,0,0,0,0,1,20180610,20180610
0000010-11D,0,0,0,0,0,1,0,20180608,20180609
0000100-3D,0,0,0,0,1,0,0,20180608,20180617
0000100-4D,0,0,0,0,1,0,0,20180608,20180617
1111100-2D,1,1,1,1,1,0,0,20180608,20180617
0000011-5D,0,0,0,0,0,1,1,20180608,20180610
1000001-1N,1,0,0,0,0,0,1,20180610,20180617
1111100-6D,1,1,1,1,1,0,0,20180608,20180614
0111110-6NM,0,1,1,1,1,1,0,20180608,20180617
0000110-2D,0,0,0,0,1,1,0,20180608,20180609
0000011-10D,0,0,0,0,0,1,1,20180609,20180610
0000001-3N,0,0,0,0,0,0,1,20180617,20180617
0000010-3N,0,0,0,0,0,1,0,20180609,20180617
0000011-3D,0,0,0,0,0,1,1,20180608,20180617
0000011-4D,0,0,0,0,0,1,1,20180608,20180617
0010000-1D,0,0,1,0,0,0,0,20180613,20180613
1111111-3DM,1,1,1,1,1,1,1,20180611,20180617
1111000-1D,1,1,1,1,0,0,0,20180608,20180617
1111000-4D,1,1,1,1,0,0,0,20180611,20180614
0000110-5DM,0,0,0,0,1,1,0,20180608,20180617
0000011-8D,0,0,0,0,0,1,1,20180608,20180617
0111100-4NM,0,1,1,1,1,0,0,20180608,20180617
1111001-1DM,1,1,1,1,0,0,1,20180608,20180617
1111110-1NM,1,1,1,1,1,1,0,20180608,20180617
0000001-6N,0,0,0,0,0,0,1,20180610,20180617
1111000-2D,1,1,1,1,0,0,0,20180611,20180617
0000100-8N,0,0,0,0,1,0,0,20180608,20180608
0000010-7N,0,0,0,0,0,1,0,20180609,20180609
1000000-1N,1,0,0,0,0,0,0,20180611,20180617
0000101-4DM,0,0,0,0,1,0,1,20180608,20180610
0000110-7NM,0,0,0,0,1,1,0,20180608,20180609
1111111-4NM,1,1,1,1,1,1,1,20180611,20180617
1111111-12DM,1,1,1,1,1,1,1,20180610,20180617
1111100-10NM,1,1,1,1,1,0,0,20180611,20180617
1111111-8DM,1,1,1,1,1,1,1,20180609,20180617
0000111-3DM,0,0,0,0,1,1,1,20180608,20180610
0000111-6DM,0,0,0,0,1,1,1,20180608,20180617
1111111-13DM,1,1,1,1,1,1,1,20180608,20180617
0000010-8N,0,1,1,1,1,1,0,20180616,20180617
1111011-3DM,1,1,1,1,0,1,1,20180608,20180617
1100100-2D,1,1,0,0,1,0,0,20180608,20180617
0011100-1D,0,0,1,1,1,0,0,20180608,20180617
0111111-2NM,0,1,1,1,1,1,1,20180608,20180617
0000100-5D,0,0,0,0,1,0,0,20180608,20180617
1000000-3N,1,0,0,0,0,0,0,20180611,20180617
1000001-5D,1,0,0,0,0,0,1,20180608,20180617
1111100-5D,1,1,1,1,1,0,0,20180608,20180617
1111101-7DM,1,1,1,1,1,0,1,20180610,20180617
0000111-4DM,1,1,1,1,1,1,1,20180615,20180617
0111111-5NM,0,1,1,1,1,1,1,20180612,20180617
1111111-14NM,1,1,1,1,1,1,1,20180609,20180617
1111111-15DM,1,1,1,1,1,1,1,20180608,20180614
1000001-2N,1,0,0,0,0,0,1,20180611,20180617
0000010-22D,0,0,0,0,0,1,0,20180608,20180617
0000001-10N,0,0,0,0,0,0,1,20180610,20180617
1111110-7DM,1,1,1,1,1,1,0,20180609,20180617
1000000-2N,1,0,0,0,0,0,0,20180611,20180617
0000001-8D,0,0,0,0,0,0,1,20180617,20180617
0111110-3N,0,1,1,1,1,1,0,20180612,20180617
0000100-11N,0,0,0,0,1,0,0,20180608,20180608
0000010-20D,0,0,0,0,0,1,0,20180608,20180616
0000111-5NM,0,0,0,0,1,1,1,20180608,20180610
0000011-20NM,0,0,0,0,0,1,1,20180609,20180617
0000001-9N,0,0,0,0,0,0,1,20180610,20180610
0000101-1DM,0,0,0,0,1,0,1,20180608,20180617
0000111-2DM,0,0,0,0,1,1,1,20180608,20180617
1111101-5DM,1,1,1,1,1,0,1,20180611,20180617
1000011-1NM,1,0,0,0,0,1,1,20180610,20180617
0000011-16NM,0,0,0,0,0,1,1,20180610,20180617
1000111-6NM,1,0,0,0,1,1,1,20180608,20180611
0000001-7D,0,0,0,0,0,0,1,20180608,20180610
0000010-9D,0,0,0,0,0,1,0,20180608,20180617
0111110-2N,0,1,1,1,1,1,0,20180612,20180617
1000000-4D,1,0,0,0,0,0,0,20180608,20180617
0000011-7D,0,0,0,0,0,1,1,20180608,20180617
0000011-12D,0,0,0,0,0,1,1,20180608,20180617
1000100-1NM,1,0,0,0,1,0,0,20180608,20180617
0000011-15NM,0,1,1,1,1,1,1,20180616,20180617
1000010-1NM,1,0,0,0,0,1,0,20180609,20180617
1111010-3DM,1,1,1,1,0,1,0,20180608,20180617
0001000-1N,0,0,0,1,0,0,0,20180614,20180614
0111100-2N,0,1,1,1,1,0,0,20180612,20180617
1111100-7D,1,1,1,1,1,0,0,20180608,20180614
0000001-23D,0,0,0,0,0,0,1,20180610,20180610
1101100-1DM,1,1,0,1,1,0,0,20180608,20180617
1111010-1DM,1,1,1,1,0,1,0,20180611,20180617
0111111-3NM,0,1,1,1,1,1,1,20180610,20180617
1111111-9NM,1,1,1,1,1,1,1,20180610,20180617
1101111-1DM,1,1,0,1,1,1,1,20180608,20180617
