service_id,date,exception_type
0000100-4D,20180615,2
1111100-2D,20180608,2
0000011-3D,20180616,2
0000011-3D,20180617,2
0000011-4D,20180609,2
0000011-4D,20180610,2
0000111-6DM,20180615,2
0000111-6DM,20180616,2
0000111-6DM,20180617,2
1111111-13DM,20180608,2
1111111-13DM,20180609,2
1111111-13DM,20180610,2
1100100-2D,20180615,2
0011100-1D,20180608,2
0000100-5D,20180608,2
1111100-5D,20180615,2
0000011-20NM,20180616,2
0000011-20NM,20180617,2
0000010-9D,20180616,2
0000011-7D,20180609,2
1000100-1NM,20180615,2
